_id,avg_pm10
"{'city': 'Haringey', 'day': '2016-02-02'}",19.825
"{'city': 'Haringey', 'day': '2016-02-03'}",24.25
"{'city': 'Haringey', 'day': '2016-02-04'}",26.977272727272727
"{'city': 'Haringey', 'day': '2016-02-05'}",26.625
"{'city': 'Haringey', 'day': '2016-02-06'}",18.416666666666668
"{'city': 'Haringey', 'day': '2016-02-07'}",16.973684210526315
"{'city': 'Heerlen', 'day': '2016-01-30'}",22.31554579861111
"{'city': 'Heerlen', 'day': '2016-01-31'}",23.12928357291667
"{'city': 'Heerlen', 'day': '2016-02-01'}",26.642238609324917
"{'city': 'Heerlen', 'day': '2016-02-02'}",28.468792270531402
"{'city': 'Heerlen', 'day': '2016-02-03'}",27.58662037037037
"{'city': 'Heerlen', 'day': '2016-02-04'}",18.490833539902127
"{'city': 'Heerlen', 'day': '2016-02-05'}",18.001521998267172
"{'city': 'Heerlen', 'day': '2016-02-06'}",20.735270552208835
"{'city': 'Heerlen', 'day': '2016-02-07'}",22.721345876436782
"{'city': 'Heerlen', 'day': '2022-11-04'}",0.93
"{'city': 'Heerlen', 'day': '2022-11-07'}",0.49
"{'city': 'Heerlen', 'day': '2022-11-16'}",0.64
"{'city': 'Heerlen', 'day': '2022-11-25'}",0.9
"{'city': 'Heerlen', 'day': '2022-12-03'}",0.65
"{'city': 'Heerlen', 'day': '2022-12-04'}",1.79
"{'city': 'Heerlen', 'day': '2022-12-07'}",1.93
"{'city': 'Heerlen', 'day': '2022-12-09'}",0.59
"{'city': 'Heerlen', 'day': '2022-12-12'}",6.675000000000001
"{'city': 'Heerlen', 'day': '2022-12-13'}",3.23
"{'city': 'Heerlen', 'day': '2022-12-14'}",18.15
"{'city': 'Heerlen', 'day': '2022-12-17'}",21.285
"{'city': 'Heerlen', 'day': '2022-12-25'}",0.53
"{'city': 'Heerlen', 'day': '2022-12-26'}",0.23
"{'city': 'Heerlen', 'day': '2022-12-30'}",0.18
"{'city': 'Heerlen', 'day': '2023-01-02'}",0.195
"{'city': 'Konarskiego', 'day': '2016-01-30'}",156.6051094890511
"{'city': 'Konarskiego', 'day': '2016-01-31'}",140.231884057971
"{'city': 'Konarskiego', 'day': '2016-02-01'}",172.23985507246377
"{'city': 'Konarskiego', 'day': '2016-02-02'}",148.32189781021896
"{'city': 'Konarskiego', 'day': '2016-02-03'}",142.2007299270073
"{'city': 'Konarskiego', 'day': '2016-02-04'}",157.99202898550726
"{'city': 'Konarskiego', 'day': '2016-02-05'}",163.9488888888889
"{'city': 'Konarskiego', 'day': '2016-02-06'}",197.7909090909091
"{'city': 'Konarskiego', 'day': '2016-02-07'}",165.57102803738317
"{'city': 'Konarskiego', 'day': '2016-02-08'}",60.9
"{'city': 'MNB', 'day': '2016-01-29'}",432.6666666666667
"{'city': 'MNB', 'day': '2016-01-30'}",268.6951219512195
"{'city': 'MNB', 'day': '2016-02-01'}",1011.981884057971
"{'city': 'MNB', 'day': '2016-02-02'}",1130.8758865248226
"{'city': 'MNB', 'day': '2016-02-03'}",657.7708333333334
"{'city': 'MNB', 'day': '2016-02-04'}",634.703007518797
"{'city': 'Nisekh', 'day': '2016-02-16'}",625.5090909090909
"{'city': 'Nisekh', 'day': '2016-02-17'}",407.13013698630135
"{'city': 'Nisekh', 'day': '2016-02-18'}",348.64
"{'city': 'Nisekh', 'day': '2016-02-19'}",235.3244680851064
"{'city': 'Nisekh', 'day': '2016-02-20'}",267.787037037037
"{'city': 'Nisekh', 'day': '2016-02-21'}",6.895833333333333
"{'city': 'Nisekh', 'day': '2016-02-22'}",6.538461538461538
"{'city': 'Philippine', 'day': '2016-01-30'}",20.8996568894651
"{'city': 'Philippine', 'day': '2016-01-31'}",18.993194444444445
"{'city': 'Philippine', 'day': '2016-02-01'}",22.70194583516323
"{'city': 'Philippine', 'day': '2016-02-02'}",29.517793427230046
"{'city': 'Philippine', 'day': '2016-02-03'}",20.202659574468083
"{'city': 'Philippine', 'day': '2016-02-04'}",18.729335848604624
"{'city': 'Philippine', 'day': '2016-02-05'}",23.71550925925926
"{'city': 'Philippine', 'day': '2016-02-06'}",18.34175438596491
"{'city': 'Philippine', 'day': '2016-02-07'}",22.319791666666667
"{'city': 'Philippine', 'day': '2022-11-12'}",4.27
"{'city': 'Philippine', 'day': '2022-11-22'}",1.31
"{'city': 'Puente Alto', 'day': '2016-01-30'}",66.55187234042553
"{'city': 'Puente Alto', 'day': '2016-01-31'}",50.71290070921986
"{'city': 'Puente Alto', 'day': '2016-02-01'}",71.4442142857143
"{'city': 'Puente Alto', 'day': '2016-02-02'}",70.31019014084508
"{'city': 'Puente Alto', 'day': '2016-02-03'}",72.7088561151079
"{'city': 'Puente Alto', 'day': '2016-02-04'}",50.66694964028777
"{'city': 'Puente Alto', 'day': '2016-02-05'}",57.872887323943665
"{'city': 'Puente Alto', 'day': '2016-02-06'}",68.63539855072463
"{'city': 'Puente Alto', 'day': '2016-02-07'}",63.23708219178082
"{'city': 'Puente Alto', 'day': '2016-02-08'}",2.7084
"{'city': 'Punjabi Bagh, Delhi - DPCC', 'day': '2016-02-05'}",721.1481437125749
"{'city': 'Punjabi Bagh, Delhi - DPCC', 'day': '2016-02-06'}",340.96090686274505
"{'city': 'Punjabi Bagh, Delhi - DPCC', 'day': '2016-02-07'}",251.80786240786242
"{'city': 'Punjabi Bagh, Delhi - DPCC', 'day': '2016-02-08'}",299.2495412844037
"{'city': 'Punjabi Bagh, Delhi - DPCC', 'day': '2025-02-18'}",59.31042881355933
"{'city': 'Punjabi Bagh, Delhi - DPCC', 'day': '2025-02-19'}",54.86649023722628
"{'city': 'Punjabi Bagh, Delhi - DPCC', 'day': '2025-02-20'}",46.601609208103135
"{'city': 'Punjabi Bagh, Delhi - DPCC', 'day': '2025-02-21'}",14.958848780487806
"{'city': 'R K Puram, Delhi - DPCC', 'day': '2016-02-05'}",1664.09
"{'city': 'R K Puram, Delhi - DPCC', 'day': '2016-02-06'}",394.0179640718563
"{'city': 'R K Puram, Delhi - DPCC', 'day': '2016-02-07'}",387.4322891566265
"{'city': 'R K Puram, Delhi - DPCC', 'day': '2016-02-08'}",410.47301204819274
"{'city': 'R K Puram, Delhi - DPCC', 'day': '2016-02-09'}",351.18834951456313
"{'city': 'R K Puram, Delhi - DPCC', 'day': '2025-02-18'}",61.60598370786517
"{'city': 'R K Puram, Delhi - DPCC', 'day': '2025-02-19'}",52.02325009469697
"{'city': 'R K Puram, Delhi - DPCC', 'day': '2025-02-20'}",41.66000891181989
"{'city': 'R K Puram, Delhi - DPCC', 'day': '2025-02-21'}",99.629879
"{'city': 'Rotterdam', 'day': '2016-01-30'}",17.12008101851852
"{'city': 'Rotterdam', 'day': '2016-01-31'}",15.488368055555554
"{'city': 'Rotterdam', 'day': '2016-02-01'}",16.64162102390363
"{'city': 'Rotterdam', 'day': '2016-02-02'}",23.543750000000003
"{'city': 'Rotterdam', 'day': '2016-02-03'}",24.03752306798684
"{'city': 'Rotterdam', 'day': '2016-02-04'}",47.84166666666667
