_id,max_value,count
"{'city': '100 ail', 'hour': '2016-02-01 13'}",5279.0,5
"{'city': 'MNB', 'hour': '2016-02-04 15'}",5210.0,2
"{'city': 'Baruun 4 zam', 'hour': '2016-01-30 16'}",5188.0,4
"{'city': '100 ail', 'hour': '2016-02-01 12'}",5188.0,5
"{'city': 'Bukhiin urguu', 'hour': '2016-01-30 14'}",5125.0,4
"{'city': 'Baruun 4 zam', 'hour': '2016-02-01 15'}",5059.0,4
"{'city': 'Baruun 4 zam', 'hour': '2016-02-01 17'}",5017.0,4
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-08 15'}",5000.0,3
"{'city': 'Baruun 4 zam', 'hour': '2016-02-01 02'}",4925.0,4
"{'city': 'Baruun 4 zam', 'hour': '2016-02-01 01'}",4917.0,2
"{'city': 'Amgalan', 'hour': '2016-01-30 15'}",4861.0,2
"{'city': '100 ail', 'hour': '2016-01-30 18'}",4803.0,7
"{'city': 'Amgalan', 'hour': '2016-02-02 17'}",4784.0,2
"{'city': 'Baruun 4 zam', 'hour': '2016-01-30 17'}",4747.0,4
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-08 14'}",4700.0,3
"{'city': 'Amgalan', 'hour': '2016-02-02 09'}",4657.0,2
"{'city': 'Amgalan', 'hour': '2016-01-31 13'}",4591.0,2
"{'city': 'Amgalan', 'hour': '2016-01-31 21'}",4504.0,2
"{'city': 'MNB', 'hour': '2016-02-01 02'}",4502.0,2
"{'city': 'Amgalan', 'hour': '2016-01-30 16'}",4495.0,2
"{'city': 'Amgalan', 'hour': '2016-01-31 14'}",4461.0,2
"{'city': 'Bukhiin urguu', 'hour': '2016-01-30 23'}",4450.0,4
"{'city': 'Amgalan', 'hour': '2016-02-02 18'}",4428.0,2
"{'city': 'Amgalan', 'hour': '2016-01-31 17'}",4407.0,2
"{'city': 'Amgalan', 'hour': '2016-02-02 13'}",4402.0,2
"{'city': 'Amgalan', 'hour': '2016-01-31 20'}",4352.0,2
